timestamp,determinand,units,Operator,result,Latitude,Longitude
30/01/2020 10:10:00,phosphorus (total),ug/l P,,10,54.55989,-1.9839162
30/01/2020 11:09:00,E.coli,/100ml,,0,55.73145,-2.0475047
30/01/2020 09:41:00,E.coli,/100ml,,0,55.691697,-2.0985974
31/01/2020 08:11:00,E.coli,/100ml,,30,54.817997,-1.9202919
31/01/2020 08:37:00,E.coli,/100ml,<,10,54.817997,-1.9202919
31/01/2020 08:25:00,E.coli,/100ml,,20,54.817997,-1.9202919
31/01/2020 09:18:00,E.coli,/100ml,,0,55.547798,-1.9438996
31/01/2020 12:52:00,E.coli,/100ml,,10,55.318993,-2.3721957
31/01/2020 10:38:00,E.coli,/100ml,,10,55.233688,-2.1904957
31/01/2020 11:09:00,E.coli,/100ml,<,10,55.275089,-2.265507
31/01/2020 12:22:00,E.coli,/100ml,,0,55.079477,-2.3205181
03/02/2020 08:39:00,E.coli,/100ml,,0,55.556879,-1.9587881
03/02/2020 07:28:00,E.coli,/100ml,,10,54.851088,-1.9006964
04/02/2020 08:57:00,E.coli,/100ml,<,10,55.077183,-2.1418863
04/02/2020 08:57:00,phosphorus (total),ug/l P,,14,55.077183,-2.1418863
04/02/2020 10:02:00,E.coli,/100ml,,10,55.231858,-1.91579
04/02/2020 11:17:00,E.coli,/100ml,,0,55.73145,-2.0476003
04/02/2020 10:20:00,E.coli,/100ml,,0,55.73145,-2.0476003
04/02/2020 10:22:00,E.coli,/100ml,,0,54.520831,-1.6058088
04/02/2020 11:00:00,E.coli,/100ml,,0,55.73145,-2.0476003
04/02/2020 11:02:00,E.coli,/100ml,,0,55.73145,-2.0476003
04/02/2020 12:05:00,E.coli,/100ml,,1800,54.837556,-1.5317023
04/02/2020 12:05:00,phosphorus (total),ug/l P,,100,54.837556,-1.5317023
04/02/2020 09:53:00,E.coli,/100ml,,2250,55.345911,-1.6288986
04/02/2020 09:53:00,phosphorus (total),ug/l P,,38,55.345911,-1.6288986
04/02/2020 12:48:00,E.coli,/100ml,,50,54.99968,-1.8842609
04/02/2020 08:29:00,E.coli,/100ml,,10,54.559989,-1.9843955
04/02/2020 11:47:00,E.coli,/100ml,,0,55.73145,-2.0476003
04/02/2020 10:06:00,E.coli,/100ml,,0,55.73145,-2.0476003
05/02/2020 13:47:00,E.coli,/100ml,,450,54.984881,-1.85266
05/02/2020 13:47:00,phosphorus (total),ug/l P,,28,54.984881,-1.85266
07/02/2020 11:50:00,E.coli,/100ml,,0,54.81356,-2.304528
05/02/2020 10:12:00,E.coli,/100ml,<,50,54.520786,-1.6057928
05/02/2020 11:43:00,E.coli,/100ml,,0,54.802831,-2.2357827
05/02/2020 10:34:00,E.coli,/100ml,,0,55.296341,-1.9509778
06/02/2020 07:56:00,E.coli,/100ml,<,10,54.817997,-1.9202919
06/02/2020 08:16:00,E.coli,/100ml,<,10,54.817997,-1.9202919
06/02/2020 08:49:00,E.coli,/100ml,<,10,54.817997,-1.9202919
06/02/2020 10:29:00,E.coli,/100ml,,0,55.547798,-1.9438996
06/02/2020 11:37:00,E.coli,/100ml,,10,55.318994,-2.3721957
06/02/2020 11:37:00,phosphorus (total),ug/l P,,8.3,55.318994,-2.3721957
06/02/2020 10:14:00,E.coli,/100ml,,10,55.233688,-2.1904957
06/02/2020 11:00:00,E.coli,/100ml,,10,55.27509,-2.265507
06/02/2020 13:31:00,E.coli,/100ml,,0,55.079477,-2.3205181
07/02/2020 11:50:00,E.coli,/100ml,,0,55.721999,-2.0641926
07/02/2020 09:31:00,E.coli,/100ml,<,10,54.748787,-2.2304038
07/02/2020 11:22:00,E.coli,/100ml,,0,55.731396,-2.0475047
10/02/2020 14:07:00,E.coli,/100ml,,140,55.077183,-2.1418863
10/02/2020 09:38:00,E.coli,/100ml,<,10,55.237793,-1.9226023
10/02/2020 12:15:00,E.coli,/100ml,,0,55.731459,-2.0475844
10/02/2020 13:00:00,E.coli,/100ml,,0,55.731459,-2.0475844
10/02/2020 11:36:00,E.coli,/100ml,,0,54.520831,-1.6058088
10/02/2020 12:00:00,E.coli,/100ml,,0,55.731459,-2.0475844
10/02/2020 12:05:00,E.coli,/100ml,,0,55.731459,-2.0475844
02/03/2020 10:27:00,E.coli,/100ml,,20,54.55989,-1.9839162
02/03/2020 10:27:00,phosphorus (total),ug/l P,,15,54.55989,-1.9839162
10/02/2020 09:12:00,E.coli,/100ml,,13000,54.837556,-1.5317023
10/02/2020 09:18:00,E.coli,/100ml,,2500,55.346692,-1.6287967
10/02/2020 13:30:00,E.coli,/100ml,,780,54.99968,-1.8842609
10/02/2020 11:27:00,E.coli,/100ml,,110,54.560187,-1.9849985
02/03/2020 11:27:00,E.coli,/100ml,,10,54.55989,-1.9839162
02/03/2020 11:27:00,phosphorus (total),ug/l P,,11,54.55989,-1.9839162
02/03/2020 10:43:00,E.coli,/100ml,,9,54.55989,-1.9839162
02/03/2020 10:43:00,phosphorus (total),ug/l P,,14,54.55989,-1.9839162
10/02/2020 12:40:00,E.coli,/100ml,,0,55.731459,-2.0475844
10/02/2020 13:10:00,E.coli,/100ml,,0,55.731459,-2.0475844
11/02/2020 12:20:00,E.coli,/100ml,,10,54.817997,-1.9202919
11/02/2020 12:20:00,phosphorus (total),ug/l P,,8.5,54.817997,-1.9202919
11/02/2020 12:54:00,E.coli,/100ml,,20,54.817997,-1.9202919
11/02/2020 12:54:00,phosphorus (total),ug/l P,,13,54.817997,-1.9202919
11/02/2020 13:12:00,E.coli,/100ml,<,10,54.817997,-1.9202919
11/02/2020 13:12:00,phosphorus (total),ug/l P,,6.3,54.817997,-1.9202919
12/02/2020 08:56:00,E.coli,/100ml,,0,55.556879,-1.9587881
11/02/2020 09:26:00,E.coli,/100ml,,180,55.318958,-2.3721639
11/02/2020 11:02:00,E.coli,/100ml,,120,55.233688,-2.1904953
11/02/2020 10:01:00,E.coli,/100ml,,30,55.275089,-2.265507
11/02/2020 09:27:00,E.coli,/100ml,,0,55.556799,-1.958804
12/02/2020 12:21:00,E.coli,/100ml,,60,54.850926,-1.900214
12/02/2020 12:21:00,phosphorus (total),ug/l P,,25,54.850926,-1.900214
13/02/2020 09:22:00,E.coli,/100ml,,30,54.748787,-2.2304038
13/02/2020 09:22:00,phosphorus (total),ug/l P,,18,54.748787,-2.2304038
13/02/2020 11:20:00,E.coli,/100ml,,0,55.73145,-2.0476003
14/02/2020 10:10:00,E.coli,/100ml,,750,54.984881,-1.85266
14/02/2020 12:10:00,E.coli,/100ml,,1,54.81356,-2.304528
14/02/2020 10:25:00,E.coli,/100ml,,1450,54.520786,-1.6057932
14/02/2020 09:45:00,E.coli,/100ml,,0,54.80284,-2.2357672
14/02/2020 09:45:00,phosphorus (total),ug/l P,,19,54.80284,-2.2357672
17/02/2020 11:24:00,E.coli,/100ml,,20,54.814289,-1.9664982
17/02/2020 11:11:00,E.coli,/100ml,,20,54.810489,-1.9288019
